Hirdetéskod,Cím,Leírás,URL,Vételár,Egyéb költségek,Fizetendő magyarországi forgalomba helyezés esetén,Okmányok jellege,Szín,Állapot,Műszaki vizsga érvényes,Helyszín,Évjárat,Kilométeróra állása,Üzemanyag,Hajtás,Hengerűrtartalom,Teljesítmény,Sebességváltó fajtája,Klíma fajtája,Téli gumi méret,Nyári gumi méret,Saját tömeg,Felszereltség,Kivitel
14575407,OPEL ASTRA H 1.4 Essentia,"Megtekinthető a Pegazus Autócentrum Kft. bicskei telephelyén. AZ ADATOK TÁJÉKOZTATÓ JELLEGŰEK, A FENTI TÁJÉKOZTATÁS NEM MINŐSÜL A POLGÁRI TÖRVÉNYKÖNYVRŐL SZÓLÓ 2013. ÉVI V. TÖRVÉNY SZERINTI AJÁNLATNAK, ÍGY NEM FŰZŐDIK HOZZÁ AJÁNLATI KÖTÖTTSÉG SEM.",https://www.hasznaltauto.hu/szemelyauto/opel/astra_h/opel_astra_h_1_4_essentia-14575407,790000,"","",Érvényes magyar okmányokkal,Zöld (metál),Normál,2019/10,,2004,179934,Benzin,Első kerék,1 364 cm³,90,Manuális (5 fokozatú) sebességváltó,Manuális klíma,"",195/65 R 15,1 155 kg,"ülésmagasság állítás, középső kartámasz, utasoldali légzsák, vezetőoldali légzsák, hátsó fejtámlák, állítható kormány, fedélzeti komputer, pótkerék, ködlámpa, elektromos ablak elöl, színezett üveg, ABS (blokkolásgátló), centrálzár, szervokormány, CD-s autórádió, 2 DIN, 4 hangszóró",Ferdehátú
14712559,OPEL ASTRA H H 1.3 CDTI. klíma. alufelni,"elektromos ablakok, elektromos tükrök, szervókormány nagyon szép és tiszta belső, jelentősebb elhasználódás jelei nelkül, nem dohányzó tulaj után, alacsony fogyasztás, megbízható motor,   Hétfő–vasárnap, 9:00–21:00 - Közel 800 jó minőségű, ellenőrzött jármű közül választhat. - Minden autón 107 paramétert ellenőrzünk - Garantáltan kiváló piaci árak. - Hosszú próbautak. - A törlesztési időszak akár 84 hónap is lehet. - Kiemelkedően magas lízing jóváhagyási arány. - Ön választhat: zárt vagy nyílt végű lízing. - Telephelyünk a fóti Auchan mellet található",https://www.hasznaltauto.hu/szemelyauto/opel/astra_h/opel_astra_h_h_1_3_cdti_klima_alufelni-14712559,800000,"","",Érvényes magyar okmányokkal,Fehér,Normál,"",,2006,267256,Dízel,Első kerék,1 248 cm³,90,Manuális (6 fokozatú) sebességváltó,Manuális klíma,"","","","multifunkciós kormánykerék, elektromos ablak elöl, elektromos ablak hátul, elektromos tükör, könnyűfém felni, szervokormány, tempomat, rádió",Kombi
14638497,OPEL ASTRA H H 1.7 CDTI. klíma. el. ablak,"elektromos tükrök, szervókormány alacsony fogyasztás,   Hétfő–vasárnap, 9:00–21:00 - Közel 800 jó minőségű, ellenőrzött jármű közül választhat. - Minden autón 107 paramétert ellenőrzünk - Garantáltan kiváló piaci árak. - Hosszú próbautak. - A törlesztési időszak akár 84 hónap is lehet. - Kiemelkedően magas lízing jóváhagyási arány. - Ön választhat: zárt vagy nyílt végű lízing. - Telephelyünk: 040 Budaors, Sport utca 6.",https://www.hasznaltauto.hu/szemelyauto/opel/astra_h/opel_astra_h_h_1_7_cdti_klima_el_ablak-14638497,800000,"","",Érvényes magyar okmányokkal,Kék,Normál,"",,2004,171000,Dízel,Első kerék,1 686 cm³,80,Manuális (5 fokozatú) sebességváltó,Manuális klíma,"","","","elektromos ablak elöl, elektromos tükör, fedélzeti komputer, szervokormány, tempomat, rádió",Ferdehátú
14843661,OPEL ASTRA H 1.4 Enjoy,"Magánszemélytől. Rengeteg extrával a kategóriájába, tempomat, klíma, multikormány, mp3 lejátszó stb. Az autón vannak sérülések a korából adódoan, kisebb karcok itt-ott, kavics felverődés, de egy ennyi idős autón, ha nincs, azt nem használták. Megtekintés előre egyeztetett időpontban.",https://www.hasznaltauto.hu/szemelyauto/opel/astra_h/opel_astra_h_1_4_enjoy-14843661,900000,"","",Érvényes magyar okmányokkal,Világoskék,Normál,2021/2,,2005,180000,Benzin,Első kerék,1 364 cm³,90,Manuális (5 fokozatú) sebességváltó,Manuális klíma,"",205/75 R 16,1 155 kg,"multifunkciós kormánykerék, oldallégzsák, utasoldali légzsák, vezetőoldali légzsák, hátsó fejtámlák, állítható kormány, fedélzeti komputer, ABS (blokkolásgátló), ASR (kipörgésgátló), indításgátló (immobiliser), centrálzár, szervokormány, tempomat, fényszóró magasságállítás, elektromos ablak elöl, elektromos tükör, rádió, CD-s autórádió, MP3 lejátszás, távirányító, 6 hangszóró",Ferdehátú
14777375,OPEL ASTRA H H 1.7 CDTI. MO-i. klíma,"automata klíma, elektromos ablakok, elektromos tükrök, szervókormány, vonóhorog garázsban tartott jármű, nem dohányzó tulaj után, alacsony fogyasztás,   Hétfő–vasárnap, 9:00–21:00 - Közel 800 jó minőségű, ellenőrzött jármű közül választhat. - Minden autón 107 paramétert ellenőrzünk - Garantáltan kiváló piaci árak. - Hosszú próbautak. - A törlesztési időszak akár 84 hónap is lehet. - Kiemelkedően magas lízing jóváhagyási arány. - Ön választhat: zárt vagy nyílt végű lízing. - Telephelyünk a fóti Auchan mellet található",https://www.hasznaltauto.hu/szemelyauto/opel/astra_h/opel_astra_h_h_1_7_cdti_mo-i_klima-14777375,900000,"","",Érvényes magyar okmányokkal,Ezüst,Normál,"",,2006,178815,Dízel,Első kerék,1 686 cm³,101,Manuális (5 fokozatú) sebességváltó,Automata klíma,"","","","multifunkciós kormánykerék, fedélzeti komputer, elektromos tükör, vonóhorog, szervokormány, rádió",Ferdehátú
14763471,OPEL ASTRA H H 1.7 CDTI. MO-i. klíma,"manuális klíma, elektromos ablakok, szervókormány, vonóhorog, riasztó alacsony fogyasztás, a jármű újonnan Magyarországon márkakereskedésben lett vásárolva,   Hétfő–vasárnap, 9:00–21:00 - Közel 800 jó minőségű, ellenőrzött jármű közül választhat. - Minden autón 107 paramétert ellenőrzünk - Garantáltan kiváló piaci árak. - Hosszú próbautak. - A törlesztési időszak akár 84 hónap is lehet. - Kiemelkedően magas lízing jóváhagyási arány. - Ön választhat: zárt vagy nyílt végű lízing. - Telephelyünk: 040 Budaors, Sport utca 6.",https://www.hasznaltauto.hu/szemelyauto/opel/astra_h/opel_astra_h_h_1_7_cdti_mo-i_klima-14763471,900000,"","",Érvényes magyar okmányokkal,Szürke,Normál,"",,2006,221107,Dízel,Első kerék,1 686 cm³,101,Manuális (5 fokozatú) sebességváltó,Manuális klíma,"","","","multifunkciós kormánykerék, elektromos ablak elöl, színezett üveg, vonóhorog, riasztó, szervokormány, tempomat, rádió",Kombi
14570516,OPEL ASTRA H H 1.3 CDTI. MO-i. szervízkönyv,"szervizkönyv, manuális klíma, elektromos ablakok, elektromos tükrök, szervókormány, riasztó második tulajdonostól, garázsban tartott jármű, nem dohányzó tulaj után, alacsony fogyasztás, a jármű újonnan Magyarországon márkakereskedésben lett vásárolva,   Hétfő–vasárnap, 9:00–21:00 - Közel 800 jó minőségű, ellenőrzött jármű közül választhat. - Minden autón 107 paramétert ellenőrzünk - Garantáltan kiváló piaci árak. - Hosszú próbautak. - A törlesztési időszak akár 84 hónap is lehet. - Kiemelkedően magas lízing jóváhagyási arány. - Ön választhat: zárt vagy nyílt végű lízing. - Telephelyünk: 040 Budaors, Sport utca 6.",https://www.hasznaltauto.hu/szemelyauto/opel/astra_h/opel_astra_h_h_1_3_cdti_mo-i_szervizkonyv-14570516,900000,"","",Érvényes magyar okmányokkal,Fekete,Normál,"",,2007,229407,Dízel,Első kerék,1 248 cm³,90,Manuális (6 fokozatú) sebességváltó,Manuális klíma,"","","","multifunkciós kormánykerék, elektromos ablak elöl, elektromos tükör, riasztó, szervokormány, rádió",Kombi
14803801,OPEL ASTRA H 1.3 CDTI Enjoy Easytronic Garanciával is!,"É r d e k l ő d n i: 7 0 / 9 3 0 - 0 9 2 7 v a g y 7 0 / 3 9 9 - 6 9 1 1 Opel márkakereskedés beszámolt, szakszervize által bevizsgált magyarországi autója! Megkímélt műszaki és esztétikai állapotban lévő gépkocsi! Igény esetén 1 év garanciával! Megbízható, kitűnő fogyasztású dízel motorral, klímával, sebességtartó elektronikával és számos egyéb kényelmi és biztonsági extrával felszerelt modell! Időpont egyeztetés után a gépkocsi külsős műhelyben történő állapotfelmérése lehetséges, ill. szerelővel érkező ügyfeleink számára műhelyállást biztosítunk! Komfortos utastér, igényes szövetkárpittal! Használt autó- motor beszámítás lehetséges! Hitelre történő vásárlás esetén, több finanszírozó ajánlatából választhatja ki a legmegfelelőbb konstrukciós ajánlatot! Teljeskörű, díjtalan ügyintézéssel várjuk!",https://www.hasznaltauto.hu/szemelyauto/opel/astra_h/opel_astra_h_1_3_cdti_enjoy_easytronic_garanciaval_is-14803801,999000,"","",Érvényes magyar okmányokkal,"",Normál,2020/5,,2008,206000,Dízel,Első kerék,1 248 cm³,90,Szekvenciális (6 fokozatú) sebességváltó,Digitális klíma,"",195/65 R 15,1 260 kg,"fűthető ülés, ülésmagasság állítás, multifunkciós kormánykerék, ISOFIX rendszer, oldallégzsák, utasoldali légzsák, vezetőoldali légzsák, ABS (blokkolásgátló), indításgátló (immobiliser), centrálzár, szervokormány, tempomat, elektromos ablak elöl, elektromos tükör, fűthető tükör, színezett üveg, CD-s autórádió, 6 hangszóró",Ferdehátú
14761766,OPEL ASTRA H Caravan 1.7 CDTI Enjoy Vezetett szervizkönyves!,"Eladó a képen látható Opel Astra Caravan. Alkalmi ajánlat! Magyarországon újonnan forgalomba helyezett, leinformálható előéletű és futásteljesítményű autó mely rendszeresen karbantartott és a szervizekről dokumentáció és számla található. Rendkívül megbízható 1.7-es diesel erőforrással szerelt melyet Isuzu motornak becéznek. Olcsó fenntartású takarékos-nyomatékos motorjának köszönhetően kényelmes utazást biztosít. Pontos puha kuplung-Füst mentes motor-Garanciális Akkumulátor! Jöjjön hozzánk bizalommal és tekintse meg Autóparkunkat. Külsős műhelyben történő állapotfelmérésre van lehetőség akár 1 év kiterjesztett Garanciával! Autóbeszámítás-Biztosításkötés​-Átírás-Biztosításkötés-Készpé​nzes Autófelvásárlás lehetséges! Érdeklődni: 06 70 775 2525 vagy 06 70 636 3648-as telefonszámokon. Facebook: AGR Auto Kft.",https://www.hasznaltauto.hu/szemelyauto/opel/astra_h/opel_astra_h_caravan_1_7_cdti_enjoy_vezetett_szervizkonyves-14761766,999000,"","",Érvényes magyar okmányokkal,Ezüst (metál),Normál,2020/2,,2008,222626,Dízel,Első kerék,1 686 cm³,101,Manuális (5 fokozatú) sebességváltó,Manuális klíma,"",195/65 R 15,1 280 kg,"dönthető utasülések, ülésmagasság állítás, ISOFIX rendszer, kikapcsolható légzsák, utasoldali légzsák, vezetőoldali légzsák, állítható kormány, ABS (blokkolásgátló), ESP (menetstabilizátor), indításgátló (immobiliser), centrálzár, szervokormány, fényszóró magasságállítás, elektromos ablak elöl, elektromos tükör, CD-s autórádió, AUX csatlakozó, 6 hangszóró",Kombi
14771775,OPEL ASTRA H H 1.7 CDTI. xenon. klíma,"automata klíma, tempomat, parkoló radar, fűthető ülések, könnyűfém felnik nem dohányzó tulaj után, magas felszereltség, nagy teljesítményű motor, alacsony fogyasztás, megbízható motor, reprezentatív jármű, rozsdamentes,   Hétfő–vasárnap, 9:00–21:00 - Közel 800 jó minőségű, ellenőrzött jármű közül választhat. - Minden autón 107 paramétert ellenőrzünk - Garantáltan kiváló piaci árak. - Hosszú próbautak. - A törlesztési időszak akár 84 hónap is lehet. - Kiemelkedően magas lízing jóváhagyási arány. - Ön választhat: zárt vagy nyílt végű lízing. - Telephelyünk: 040 Budaors, Sport utca 6.",https://www.hasznaltauto.hu/szemelyauto/opel/astra_h/opel_astra_h_h_1_7_cdti_xenon_klima-14771775,1000000,"","",Érvényes magyar okmányokkal,Fekete,Normál,"",,2005,182725,Dízel,Első kerék,1 686 cm³,101,Manuális (5 fokozatú) sebességváltó,Automata klíma,"","","","fűthető ülés, fedélzeti komputer, tolatóradar, szervokormány, tempomat, elektromos tükör, könnyűfém felni, vonóhorog, rádió",Ferdehátú
