contact_id,group,num_send,num_open,num_click,sales_amount
1,treatment,0,0,0,0
2,treatment,3,0,0,0
3,treatment,2,1,0,0
4,treatment,3,0,0,0
5,treatment,0,0,0,0
6,treatment,0,0,0,0
7,treatment,1,0,0,0
8,treatment,2,0,0,0
9,treatment,3,0,0,0
10,treatment,2,0,0,0
11,treatment,2,0,0,0
12,treatment,3,1,0,0
13,treatment,3,0,0,0
14,treatment,0,0,0,0
15,treatment,4,0,0,0
16,treatment,1,0,0,0
17,treatment,3,0,0,0
18,treatment,4,2,1,0
19,control,3,0,0,0
20,treatment,2,0,0,0
21,control,0,0,0,0
22,treatment,4,2,2,0
23,treatment,3,0,0,0
24,treatment,2,1,0,0
25,treatment,0,0,0,0
26,treatment,3,0,0,0
27,treatment,3,0,0,0
28,treatment,0,0,0,0
29,treatment,2,0,0,0
30,treatment,0,0,0,0
31,treatment,1,0,0,0
32,control,0,0,0,0
33,treatment,0,0,0,0
34,treatment,2,0,0,0
35,treatment,2,0,0,0
36,treatment,2,0,0,0
37,treatment,3,0,0,453.97
38,treatment,2,1,0,0
39,treatment,4,1,0,0
40,treatment,3,0,0,0
41,treatment,3,0,0,0
42,treatment,0,0,0,0
43,treatment,3,0,0,0
44,treatment,3,0,0,0
45,treatment,2,0,0,0
46,treatment,0,0,0,0
47,treatment,2,1,0,0
48,treatment,1,0,0,0
49,treatment,1,0,0,0
50,treatment,3,0,0,0
51,treatment,3,0,0,0
52,treatment,2,0,0,0
53,treatment,3,0,0,0
54,treatment,3,1,0,0
55,treatment,0,0,0,0
56,treatment,0,0,0,0
57,treatment,0,0,0,0
58,treatment,1,0,0,0
59,treatment,3,3,0,0
60,treatment,3,0,0,0
61,treatment,3,0,0,0
62,treatment,0,0,0,0
63,treatment,3,0,0,0
64,treatment,3,0,0,0
65,treatment,1,0,0,0
66,treatment,3,0,0,0
67,control,3,0,0,0
68,treatment,1,0,0,0
69,treatment,3,0,0,0
70,treatment,3,0,0,0
71,treatment,5,5,2,0
72,treatment,3,0,0,0
73,treatment,2,0,0,0
74,treatment,0,0,0,0
75,treatment,0,0,0,0
76,treatment,0,0,0,0
77,treatment,2,0,0,0
78,treatment,3,0,0,0
79,treatment,3,0,0,0
80,treatment,0,0,0,0
81,treatment,3,0,0,0
82,treatment,3,0,0,0
83,treatment,0,0,0,0
84,treatment,0,0,0,0
85,treatment,3,1,0,0
86,treatment,1,0,0,0
87,treatment,2,0,0,0
88,treatment,3,0,0,0
89,treatment,3,0,0,0
90,control,0,0,0,0
91,treatment,0,0,0,0
92,treatment,2,0,0,0
93,treatment,2,0,0,0
94,control,0,0,0,0
95,treatment,2,1,0,0
96,treatment,0,0,0,0
97,control,0,0,0,0
98,treatment,0,0,0,0
99,treatment,2,0,0,0
100,treatment,3,0,0,0
101,treatment,3,0,0,0
102,treatment,2,0,0,0
103,treatment,3,0,0,0
104,control,0,0,0,0
105,treatment,0,0,0,0
106,treatment,0,0,0,0
107,treatment,0,0,0,0
108,treatment,3,0,0,0
109,treatment,2,0,0,0
110,treatment,0,0,0,0
111,treatment,2,0,0,0
112,treatment,0,0,0,0
113,treatment,3,0,0,0
114,treatment,0,0,0,0
115,treatment,3,0,0,0
116,treatment,4,0,0,0
117,treatment,3,0,0,0
118,treatment,3,0,0,0
119,treatment,3,0,0,0
120,control,2,0,0,0
121,treatment,0,0,0,0
122,treatment,0,0,0,0
123,treatment,1,0,0,0
124,treatment,0,0,0,0
125,treatment,2,0,0,0
126,treatment,2,0,0,0
127,treatment,3,0,0,0
128,treatment,1,0,0,0
129,treatment,3,0,0,0
130,treatment,0,0,0,0
131,treatment,3,0,0,0
132,treatment,0,0,0,0
133,treatment,3,0,0,0
134,treatment,3,0,0,0
135,treatment,3,1,1,0
136,treatment,3,0,0,0
137,control,3,0,0,0
138,treatment,0,0,0,0
139,treatment,3,1,1,299.95
140,treatment,3,3,0,0
141,treatment,3,1,0,0
142,treatment,2,0,0,0
143,treatment,1,0,0,0
144,treatment,3,0,0,0
145,treatment,3,0,0,0
146,treatment,3,0,0,0
147,treatment,0,0,0,0
148,treatment,0,0,0,0
149,treatment,3,0,0,0
150,treatment,0,0,0,0
151,treatment,3,0,0,0
152,treatment,2,0,0,0
153,treatment,0,0,0,0
154,treatment,3,0,0,0
155,treatment,3,0,0,0
156,treatment,0,0,0,0
157,treatment,3,0,0,0
158,treatment,3,3,0,0
159,treatment,3,0,0,0
160,treatment,0,0,0,0
161,treatment,3,0,0,0
162,treatment,1,0,0,0
163,control,0,0,0,0
164,treatment,2,0,0,0
165,treatment,0,0,0,0
166,treatment,1,0,0,0
167,treatment,3,0,0,0
168,treatment,3,0,0,0
169,treatment,3,0,0,0
170,treatment,3,0,0,0
171,treatment,0,0,0,0
172,control,3,0,0,0
173,control,0,0,0,0
174,control,3,0,0,0
175,treatment,0,0,0,0
176,control,0,0,0,0
177,treatment,3,0,0,0
178,treatment,3,0,0,0
179,treatment,3,3,0,0
180,treatment,3,0,0,0
181,control,3,0,0,0
182,treatment,3,0,0,0
183,control,3,0,0,0
184,treatment,2,0,0,0
185,treatment,2,0,0,0
186,control,0,0,0,0
187,treatment,0,0,0,0
188,treatment,3,1,0,0
189,treatment,0,0,0,0
190,control,3,0,0,0
191,treatment,3,0,0,0
192,treatment,3,0,0,0
193,control,3,0,0,0
194,treatment,3,0,0,0
195,treatment,3,3,0,0
196,treatment,2,0,0,0
197,treatment,3,0,0,0
198,treatment,3,0,0,0
199,treatment,3,2,1,0
