count,season_1,season_2,season_3,season_4,workingday,holiday,hour,weather_1,weather_2,weather_3,weather_4,temp,atemp,humidity,windspeed
16,TRUE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,FALSE,FALSE,9.84,14.395,81,0
40,TRUE,FALSE,FALSE,FALSE,0,0,1,TRUE,FALSE,FALSE,FALSE,9.02,13.635,80,0
32,TRUE,FALSE,FALSE,FALSE,0,0,2,TRUE,FALSE,FALSE,FALSE,9.02,13.635,80,0
13,TRUE,FALSE,FALSE,FALSE,0,0,3,TRUE,FALSE,FALSE,FALSE,9.84,14.395,75,0
1,TRUE,FALSE,FALSE,FALSE,0,0,4,TRUE,FALSE,FALSE,FALSE,9.84,14.395,75,0
1,TRUE,FALSE,FALSE,FALSE,0,0,5,FALSE,TRUE,FALSE,FALSE,9.84,12.88,75,6.0032
2,TRUE,FALSE,FALSE,FALSE,0,0,6,TRUE,FALSE,FALSE,FALSE,9.02,13.635,80,0
3,TRUE,FALSE,FALSE,FALSE,0,0,7,TRUE,FALSE,FALSE,FALSE,8.2,12.88,86,0
8,TRUE,FALSE,FALSE,FALSE,0,0,8,TRUE,FALSE,FALSE,FALSE,9.84,14.395,75,0
14,TRUE,FALSE,FALSE,FALSE,0,0,9,TRUE,FALSE,FALSE,FALSE,13.12,17.425,76,0
36,TRUE,FALSE,FALSE,FALSE,0,0,10,TRUE,FALSE,FALSE,FALSE,15.58,19.695,76,16.9979
56,TRUE,FALSE,FALSE,FALSE,0,0,11,TRUE,FALSE,FALSE,FALSE,14.76,16.665,81,19.0012
84,TRUE,FALSE,FALSE,FALSE,0,0,12,TRUE,FALSE,FALSE,FALSE,17.22,21.21,77,19.0012
94,TRUE,FALSE,FALSE,FALSE,0,0,13,FALSE,TRUE,FALSE,FALSE,18.86,22.725,72,19.9995
106,TRUE,FALSE,FALSE,FALSE,0,0,14,FALSE,TRUE,FALSE,FALSE,18.86,22.725,72,19.0012
110,TRUE,FALSE,FALSE,FALSE,0,0,15,FALSE,TRUE,FALSE,FALSE,18.04,21.97,77,19.9995
93,TRUE,FALSE,FALSE,FALSE,0,0,16,FALSE,TRUE,FALSE,FALSE,17.22,21.21,82,19.9995
67,TRUE,FALSE,FALSE,FALSE,0,0,17,FALSE,TRUE,FALSE,FALSE,18.04,21.97,82,19.0012
35,TRUE,FALSE,FALSE,FALSE,0,0,18,FALSE,FALSE,TRUE,FALSE,17.22,21.21,88,16.9979
37,TRUE,FALSE,FALSE,FALSE,0,0,19,FALSE,FALSE,TRUE,FALSE,17.22,21.21,88,16.9979
36,TRUE,FALSE,FALSE,FALSE,0,0,20,FALSE,TRUE,FALSE,FALSE,16.4,20.455,87,16.9979
34,TRUE,FALSE,FALSE,FALSE,0,0,21,FALSE,TRUE,FALSE,FALSE,16.4,20.455,87,12.998
28,TRUE,FALSE,FALSE,FALSE,0,0,22,FALSE,TRUE,FALSE,FALSE,16.4,20.455,94,15.0013
39,TRUE,FALSE,FALSE,FALSE,0,0,23,FALSE,TRUE,FALSE,FALSE,18.86,22.725,88,19.9995
17,TRUE,FALSE,FALSE,FALSE,0,0,0,FALSE,TRUE,FALSE,FALSE,18.86,22.725,88,19.9995
17,TRUE,FALSE,FALSE,FALSE,0,0,1,FALSE,TRUE,FALSE,FALSE,18.04,21.97,94,16.9979
9,TRUE,FALSE,FALSE,FALSE,0,0,2,FALSE,TRUE,FALSE,FALSE,17.22,21.21,100,19.0012
6,TRUE,FALSE,FALSE,FALSE,0,0,3,FALSE,TRUE,FALSE,FALSE,18.86,22.725,94,12.998
3,TRUE,FALSE,FALSE,FALSE,0,0,4,FALSE,TRUE,FALSE,FALSE,18.86,22.725,94,12.998
2,TRUE,FALSE,FALSE,FALSE,0,0,6,FALSE,FALSE,TRUE,FALSE,17.22,21.21,77,19.9995
1,TRUE,FALSE,FALSE,FALSE,0,0,7,FALSE,TRUE,FALSE,FALSE,16.4,20.455,76,12.998
8,TRUE,FALSE,FALSE,FALSE,0,0,8,FALSE,FALSE,TRUE,FALSE,16.4,20.455,71,15.0013
20,TRUE,FALSE,FALSE,FALSE,0,0,9,FALSE,TRUE,FALSE,FALSE,15.58,19.695,76,15.0013
53,TRUE,FALSE,FALSE,FALSE,0,0,10,FALSE,TRUE,FALSE,FALSE,14.76,17.425,81,15.0013
70,TRUE,FALSE,FALSE,FALSE,0,0,11,FALSE,TRUE,FALSE,FALSE,14.76,16.665,71,16.9979
93,TRUE,FALSE,FALSE,FALSE,0,0,12,FALSE,TRUE,FALSE,FALSE,14.76,16.665,66,19.9995
