male,age,height,weight,beer,television,food
1,23,175,62,3,0,45000
0,23,181,61,1,15,45000
0,24,158,59,400,0,90000
0,22,162,50,0,0,60000
0,21,169,62,0,10,30000
0,23,170,54,1,5,30000
0,23,153,39,0,30,4500
1,23,186,82,2,0,36000
1,22,180,76,6,60,60000
0,23,168,56,1,10,10500000
1,23,183,72,10,5,45000
0,22,158,48,0,0,45000
1,23,168,62,2,0,45000
0,23,162,59,0,60,75000
1,35,178,75,3,40,60000
1,29,178,71,0,0,39000
0,22,168,60,0,0,21000
1,25,191,120,7,0,51000
0,23,163,54,0,0,60000
0,22,162,51,0.5,0,25000
0,21,160,52,0,300,30000
1,22,181,63,1,5,20000
1,23,186,73,0,5,60000
1,22,190,75,1,0,40000
1,21,183,74,2,0,60000
1,21,172,87,0.25,25,40000
1,21,183,64,0,5,45000
1,28,184,74,1,60,30000
1,20,190,90,1,0,40000
1,21,175,60,0,15,16000
1,21,171,60,0.5,30,50000
1,22,176,78,2,120,50000
1,21,180,69,3,50,30000
1,22,190,80,0.5,90,30000
1,20,188,83,0,500,30000
1,21,112,122,2.11212E+11,7272727260,6.36E+16
1,23,185,79,1.5,60,10500
1,24,178,76,1,120,15000
1,24,1.9,84,0,450,13500
0,22,168,58,0.5,180,10500
0,21,165,65,2,0,12000
0,26,170,61,,300,7500
0,23,165,55,0,240,9600
0,24,180,69,0.2,90,7500
1,23,175,69,0.5,660,12000
0,23,170,60,0,300,24000
1,26,5.2,21.8,0,420,45000
0,23,179.5,58,0,120,9000
1,24,189,92,3,300,15000
1,22,196,90,0,240,15000
1,24,180,83,0,120,12000
0,23,171,59,0,360,77400
1,24,185,76,1.5,0,13500
0,22,167,52,0,360,7500
0,21,175,59,0,30,12000
0,22,165,57,0,420,15000
1,21,180,70,0.1,900,6000
0,23,160,48,0.1,180,15000
0,25,173,57,0.1,300,15000
0,25,163,61,0.5,120,40000
0,25,172,57,0.5,210,40000
0,24,169,64,0,400,15000
1,26,184,76,3,840,50000
0,24,171,70,0,60,20000
1,23,173,93,0,320,35000
0,24,155,45,0.5,150,50000
0,25,170,57,0,0,30000
1,22,181,62,1,360,35000
1,23,186,88,0.001,25,35000
1,23,185,70,1.5,20,15000
1,29,182,74,1,0,50000
1,25,180,90,4,210,45000
1,24,177,53,0,20,35100
1,26,187,94,1,0,25000
0,24,162,55,0,600,35000
0,24,164,65,0.1,180,150000
0,23,176,60,0,60,30000
1,23,185,78,0.2,60,40000
1,23,178,90,1,420,25000
1,20,186,89,1,60,50000
0,22,165,62,1,0,60000
1,22,181,85,0,0,40000
1,20,183,72,0,150,20000
0,23,165,51,0,0,30000
0,22,164,56,0.2,0,30000
1,22,178,60,2,0,60000
1,23,185,66,0.5,0,35000
1,23,185,97,0,60,50000
1,23,182,94,0,0,30000
1,22,181,100,1,30,45
0,22,180,80,0,60,30000
0,20,176,70,9,0,60000
1,22,175,78,0.2,840,10000
1,22,187,61,0,0,40000
1,22,180,68,1,1500,30000
0,21,165,48,0,0,40000
1,21,186,72,0.2,300,80000
1,20,185,60,0.3,20,60000
0,21,160,59,0.5,0,50000
0,22,170,55,0,0,55000
0,23,165,50,0.6,0,40000
1,21,180,75,2.5,30,20000
1,21,188,102,1,0,3000
1,27,176,80,1,0,30000
