title,media_score,cast,short_review
Ant-Man and The Wasp,87%,"Paul Rudd, Evangeline Lilly, Michael Douglas","It keeps the tone very light and funny, incorporates themes of responsibility towards your family, and it capitalizes on Paul Rudd's comedic charisma."
Ant-Man and The Wasp,87%,"Paul Rudd, Evangeline Lilly, Michael Douglas",Amid all the fun and action of Ant-Man and the Wasp comes the example of what true love will give for another.
Ant-Man and The Wasp,87%,"Paul Rudd, Evangeline Lilly, Michael Douglas",This sequel is much more more fleet of foot.
Ant-Man and The Wasp,87%,"Paul Rudd, Evangeline Lilly, Michael Douglas","It's a lot weirder than the original film, but the ridiculousness of it all only adds to the fun."
Ant-Man and The Wasp,87%,"Paul Rudd, Evangeline Lilly, Michael Douglas","Silly, low-stakes, highly entertaining fluff..."
Ant-Man and The Wasp,87%,"Paul Rudd, Evangeline Lilly, Michael Douglas",It is complete nonsense ... but the great trick Ant-Man and The Wasp pulls is that it's really easy just to go along with it.
Ant-Man and The Wasp,87%,"Paul Rudd, Evangeline Lilly, Michael Douglas","With one notable exception, the entire film appears to be completely inconsequential to the rest of the MCU, which may leave some die-hard fans a little disappointed."
Ant-Man and The Wasp,87%,"Paul Rudd, Evangeline Lilly, Michael Douglas","Make no mistake, Ant-Man and the Wasp is a comedy before it's an action movie. But that doesn't mean the action isn't top notch."
Ant-Man and The Wasp,87%,"Paul Rudd, Evangeline Lilly, Michael Douglas","Not only do all of the antagonists provide their own comedy moments (even making light of a potentially daunting torture scene), but so too do all of the background parts."
Ant-Man and The Wasp,87%,"Paul Rudd, Evangeline Lilly, Michael Douglas","Did Marvel do it again? Yes. While not as kinetically moving as Winter Soldier or dramatically pleasing as Civil War, Ant Man and the Wasp gives audiences an extra scoop of ice cream in their escape from the summer heat."
Ant-Man and The Wasp,87%,"Paul Rudd, Evangeline Lilly, Michael Douglas","It's a light, screwball comedy that fully gives in to the ridiculous nature of its premise."
Ant-Man and The Wasp,87%,"Paul Rudd, Evangeline Lilly, Michael Douglas",The kind of film the summer movie season is made for.
Ant-Man and The Wasp,87%,"Paul Rudd, Evangeline Lilly, Michael Douglas","It might not be the most memorable Marvel movie, but is a fun family outing for July 4th weekend, not to mention a lighthearted reprieve from the gut punch of ""Infinity War"" (damn you, Thanos)."
Ant-Man and The Wasp,87%,"Paul Rudd, Evangeline Lilly, Michael Douglas","Returning director Peyton Reed has delivered a movie that pops with colour, silliness and the MCU's patented Big Quip Energy."
Ant-Man and The Wasp,87%,"Paul Rudd, Evangeline Lilly, Michael Douglas","[A] Saturday morning cartoon stretched out to feature length, for better and for worse."
Ant-Man and The Wasp,87%,"Paul Rudd, Evangeline Lilly, Michael Douglas","With a plot that at times is a bit wishy-washy, it's a sequel that appears to be a shrinking violet, a solid stand-alone that provides as much fun as its Marvel parent arms of the Universe."
Ant-Man and The Wasp,87%,"Paul Rudd, Evangeline Lilly, Michael Douglas","Ant-Man and the Wasp feels a bit like three underdeveloped stories playing all at the same time, none of them particularly tense or emotionally gripping"
Ant-Man and The Wasp,87%,"Paul Rudd, Evangeline Lilly, Michael Douglas",The Ant-Man movies are different entities from their MCU counterparts. These are the films that give us the human side of what's going on in this vast movie universe.
Ant-Man and The Wasp,87%,"Paul Rudd, Evangeline Lilly, Michael Douglas","I don't see the supposed entertainment, I am not excited by any scene, the characters are disposable, it is a childish one with a plot full of quantum gaps. [Full review in Spanish]"
Ant-Man and The Wasp,87%,"Paul Rudd, Evangeline Lilly, Michael Douglas","Marvel's final film of 2018 will probably be something of a relief to many fans of its superhero movies, if for no other reason than it's a fairly straightforward action-comedy that hits far more often than it doesn't."
Ant-Man,83%,"Paul Rudd, Michael Douglas, Evangeline Lilly","If you're a big fan of the ever-expanding Marvel cinematic universe, you'll love the addition of Ant-Man to the mix. If you're just out to see a movie and pick this one because it sounds weird and the show time is right, you're in for some laughs..."
Ant-Man,83%,"Paul Rudd, Michael Douglas, Evangeline Lilly","Silly, but sometimes brilliant."
Ant-Man,83%,"Paul Rudd, Michael Douglas, Evangeline Lilly","Ant-Man has problems, but still delivers a nice breather for the MCU."
Ant-Man,83%,"Paul Rudd, Michael Douglas, Evangeline Lilly",Paul Rudd stars in a formulaic but consistently entertaining and likeable Marvel summer blockbuster.
Ant-Man,83%,"Paul Rudd, Michael Douglas, Evangeline Lilly","A really fun heist film with a sci-fi twist that has plenty of heart to go along with the humour, it's just a shame that the antagonist side of things is rather dull..."
Ant-Man,83%,"Paul Rudd, Michael Douglas, Evangeline Lilly","Provides Humor & Heart, But It's No Marvel"
Ant-Man,83%,"Paul Rudd, Michael Douglas, Evangeline Lilly",It's as though the film is so eager to let you know that it is aware of your concerns that it forgets to put in the effort to fully dispel them.
Ant-Man,83%,"Paul Rudd, Michael Douglas, Evangeline Lilly","For a film about an extremely small superhero, it contains some very large plot holes."
Ant-Man,83%,"Paul Rudd, Michael Douglas, Evangeline Lilly","It's not horribly bad because I've seen worse. However it doesn't do anything special to really set it apart from other comic book films. In the end, it can be a bit forgettable."
Ant-Man,83%,"Paul Rudd, Michael Douglas, Evangeline Lilly","The performances of the main cast, the refreshing display of Ant-Man's abilities, Michael Pena's superb comedic role, and a weird yet dynamic finale make this a superhero blockbuster worth checking out."
Ant-Man,83%,"Paul Rudd, Michael Douglas, Evangeline Lilly","Ant-Man is a rousing, funny and exciting adventure, much along the same lines as Guardians of the Galaxy."
Ant-Man,83%,"Paul Rudd, Michael Douglas, Evangeline Lilly","All in all, 'Ant-Man' is a great little entertainment that works wonderfully as the movie it wants to be, although it's obviously very different from what Edgar Wright could have offered us. [Full Review in Spanish]"
Ant-Man,83%,"Paul Rudd, Michael Douglas, Evangeline Lilly",I thought this movie was highly enjoyable on a smaller scale than other Marvel movies.
Ant-Man,83%,"Paul Rudd, Michael Douglas, Evangeline Lilly",At least it was different than the typical Marvel crap.
Ant-Man,83%,"Paul Rudd, Michael Douglas, Evangeline Lilly",'Ant-Man' remains at the tail of the Marvel Cinematic Universe for not having managed to lower the exacerbated level of comedy on time. [Full Review in Spanish]
Ant-Man,83%,"Paul Rudd, Michael Douglas, Evangeline Lilly","Ant-Man is an overall success. It's highly amusing, exciting, and it's great that this odd little corner of the MCU got some love."
Ant-Man,83%,"Paul Rudd, Michael Douglas, Evangeline Lilly",The recurring theme of the importance of a father/daughter relationship is really touching.
Ant-Man,83%,"Paul Rudd, Michael Douglas, Evangeline Lilly","For the sections of its 117-minute running time when it's focusing on its core plot, Ant-Man is a good time at the movies."
Ant-Man,83%,"Paul Rudd, Michael Douglas, Evangeline Lilly","It's all so formulaic, so intentional, so transparently focused on a specific audience to milk a specific dollar."
Ant-Man,83%,"Paul Rudd, Michael Douglas, Evangeline Lilly","Paul Rudd brings a boyish charm to any role he plays. His ""Aw, shucks!"" demeanor is perfect for the film's version of Scott Lang, though this iteration of the character is also trapped in a story that can't decide what it wants him to be."
Avengers: Age of Ultron,76%,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo","It seems [Whedon] was willing to tell the story at all costs, regardless of faults within the narrative and the universe."
Avengers: Age of Ultron,76%,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo",An electrifying cast under the guidance of Joss Whedon and a cool storyline are irresistible even for a less-than-enthusiastic superhero fan like me.
Avengers: Age of Ultron,76%,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo",It's too much of a lot of great things.
Avengers: Age of Ultron,76%,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo",Criminally underrated and one of Marvel's best.
Avengers: Age of Ultron,76%,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo","Avengers: Age of Ultron is a good film and a fun time, but it doesn't reach the heights of the other films in its sub-series..."
Avengers: Age of Ultron,76%,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo",Whedon has tried to dazzle our eyes-and he does!- but has forgotten about engaging our brains.
Avengers: Age of Ultron,76%,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo","The enemies are merely repetitive opportunities for over-the-top, realism-devoid, gravity-defying stunts and action sequences to play out, one after the next."
Avengers: Age of Ultron,76%,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo",For the first time ....The Avengers were in Africa. CGI effects were well done and show how technology is advancing.
Avengers: Age of Ultron,76%,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo",Avengers: Age of Ultron is a film that occasionally lives up to that simultaneous nerdgasm.
Avengers: Age of Ultron,76%,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo",Avengers: Age of Ultron is a good film but may fall short of your high expectations.
Avengers: Age of Ultron,76%,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo","I had a lot of fun with this installment, I just wish it wasn't so concerned with reminding us that there's more to come in the years ahead."
